AxIS Spike File,D:\hMO testing\Raw data\SNCAND34391H_Feb132020\Extracted raw data\Feb132020_ND3439SNCA_WTest3_1h\Feb132020_ND3439SNCA_WTest3_1h(000)(000).spk
File Type,24-well

Analysis Start,0.000000
Analysis End,600.000000
Active Electrode Criterion (spks/min), 5
Remove Coincident Artifacts,False

Electrode Burst Settings,
    Algorithm,ISI Threshold,
    Min # of Spikes,5.000000
    Max ISI (ms),100.000000

Network Burst Settings,
    Algorithm,ISI Threshold,Adaptive,
    Min # of Spikes,5.000000
    Min # of Electrodes (%),20.000000
Synchrony Settings,
    Synchrony Window,20.000000

Evoked Analysis Settings,
    Events,0 to 0
    Peri-stimulus Window Start (ms),0.000000
    Peri-stimulus Window End (ms),100.000000
    Bin Size (ms),1.000000

Well Averages,A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,B5,B6,C1,C2,C3,C4,C5,C6,D1,D2,D3,D4,D5,D6,
Treatment/ID,,,,,,,,,,,,,,,,,,,,,,,,
Activity Metrics
    Number of Spikes,5715.000000,12183.000000,26404.000000,24535.000000,1119.000000,4.000000,49278.000000,11363.000000,13200.000000,11646.000000,7.000000,4.000000,4617.000000,14731.000000,15724.000000,68.000000,3229.000000,655.000000,44.000000,8426.000000,8117.000000,27384.000000,30355.000000,16824.000000
    Mean Firing Rate (Hz),0.595313,1.269063,2.750417,2.555729,0.116563,0.000417,5.133125,1.183646,1.375000,1.213125,0.000729,0.000417,0.480938,1.534479,1.637917,0.007083,0.336354,0.068229,0.004583,0.877708,0.845521,2.852500,3.161979,1.752500
    ISI Coefficient of Variation - Avg,3.714932,10.493256,8.815041,4.655607,6.090127, ,2.994348,5.098252,3.791648,3.313501, , ,1.254188,7.983864,8.365918,1.321721,5.928580,5.302619, ,5.669492,6.986074,5.011723,5.924343,6.911265
    Network ISI Coefficient of Variation,1.701533,8.833770,8.929283,3.820400,10.198751,0.243858,1.820079,7.271740,9.623080,3.419360,0.750953,1.147863,1.228509,2.092698,10.429495,1.582631,12.595770,5.353602,1.809414,10.617107,14.704583,4.206439,5.843792,4.658262
    Number of Active Electrodes,7.000000,3.000000,8.000000,7.000000,3.000000,0.000000,15.000000,8.000000,10.000000,15.000000,0.000000,0.000000,6.000000,8.000000,10.000000,1.000000,5.000000,1.000000,0.000000,10.000000,6.000000,7.000000,9.000000,8.000000
    Weighted Mean Firing Rate (Hz),1.327619,6.744444,5.487083,5.839048,0.585000, ,5.475333,2.366458,2.190667,1.289111, , ,1.277222,3.063542,2.601667,0.085000,1.050333,1.071667, ,1.401500,2.244444,6.512857,5.612037,3.485208
Electrode Burst Metrics
    Number of Bursts,85.000000,212.000000,503.000000,398.000000,61.000000,0.000000,675.000000,305.000000,377.000000,513.000000,0.000000,0.000000,49.000000,262.000000,500.000000,1.000000,77.000000,34.000000,0.000000,197.000000,282.000000,725.000000,491.000000,436.000000
    Number of Bursting Electrodes,11.000000,3.000000,8.000000,6.000000,2.000000,0.000000,15.000000,8.000000,10.000000,15.000000,0.000000,0.000000,6.000000,8.000000,11.000000,1.000000,7.000000,1.000000,0.000000,10.000000,6.000000,7.000000,8.000000,9.000000
    Burst Duration - Avg (sec),0.347033,0.444453,0.384528,0.430928,0.165484, ,0.393139,0.308397,0.307791,0.242342, , ,0.219333,0.224741,0.233915,0.099120,0.330438,0.222381, ,0.361362,0.180787,0.346577,0.440249,0.274162
